Time,State,FocusScore
2026-01-28 23:26:55.881580,Focused,100
2026-01-28 23:26:55.950018,Focused,100
2026-01-28 23:26:56.013133,Focused,100
2026-01-28 23:26:56.086710,Focused,100
2026-01-28 23:26:56.158757,Focused,100
2026-01-28 23:26:56.240391,Focused,100
2026-01-28 23:26:56.302735,Focused,100
2026-01-28 23:26:56.373393,Focused,100
2026-01-28 23:26:56.446593,Focused,100
2026-01-28 23:26:56.510873,Focused,100
2026-01-28 23:26:56.574153,Focused,100
2026-01-28 23:26:56.641773,Focused,100
2026-01-28 23:26:56.703423,Focused,100
2026-01-28 23:26:56.765021,Focused,100
2026-01-28 23:26:56.830888,Focused,100
2026-01-28 23:26:56.895349,Focused,100
2026-01-28 23:26:56.961170,Focused,100
2026-01-28 23:26:57.034302,Focused,100
2026-01-28 23:26:57.115785,Focused,90
2026-01-28 23:26:57.184928,Focused,100
2026-01-28 23:26:57.252462,Focused,100
2026-01-28 23:26:57.315230,Focused,100
2026-01-28 23:26:57.373620,Focused,100
2026-01-28 23:26:57.442000,Focused,100
2026-01-28 23:26:57.507502,Focused,100
2026-01-28 23:26:57.584618,Focused,100
2026-01-28 23:26:57.662655,Focused,100
2026-01-28 23:26:57.732995,Focused,100
2026-01-28 23:26:57.814534,Focused,100
2026-01-28 23:26:57.873214,Focused,100
2026-01-28 23:26:57.938812,Focused,100
2026-01-28 23:26:57.999536,Focused,100
2026-01-28 23:26:58.127898,Focused,100
2026-01-28 23:26:58.213393,Focused,80
2026-01-28 23:26:58.300653,Focused,80
2026-01-28 23:26:58.383655,Focused,80
2026-01-28 23:26:58.456923,Focused,80
2026-01-28 23:26:58.545930,Focused,80
2026-01-28 23:26:58.628781,Focused,80
2026-01-28 23:26:58.690066,Focused,80
2026-01-28 23:26:58.756743,Focused,80
2026-01-28 23:26:58.823648,Focused,80
2026-01-28 23:26:58.894440,Focused,80
2026-01-28 23:26:58.956631,Focused,80
2026-01-28 23:26:59.012758,Focused,80
2026-01-28 23:26:59.082719,Focused,80
2026-01-28 23:26:59.147604,Focused,80
2026-01-28 23:26:59.212510,Focused,80
2026-01-28 23:26:59.277460,Focused,80
2026-01-28 23:26:59.347257,Focused,80
2026-01-28 23:26:59.427517,Tired / Stressed,50
2026-01-28 23:26:59.495378,Tired / Stressed,50
2026-01-28 23:26:59.556263,Focused,80
2026-01-28 23:26:59.618312,Focused,80
2026-01-28 23:26:59.689743,Tired / Stressed,50
2026-01-28 23:26:59.763705,Tired / Stressed,50
2026-01-28 23:26:59.832692,Tired / Stressed,50
2026-01-28 23:26:59.906423,Focused,80
2026-01-28 23:26:59.976248,Focused,80
2026-01-28 23:27:00.067398,Focused,80
2026-01-28 23:27:00.128613,Focused,80
2026-01-28 23:27:00.192519,Focused,80
2026-01-28 23:27:00.256564,Focused,80
2026-01-28 23:27:00.319859,Focused,80
2026-01-28 23:27:00.383883,Focused,80
2026-01-28 23:27:00.513214,Distracted,70
2026-01-28 23:27:00.585670,Focused,80
2026-01-28 23:27:00.658179,Distracted,70
2026-01-28 23:27:00.739603,Focused,80
2026-01-28 23:27:00.809596,Distracted,70
2026-01-28 23:27:00.880366,Focused,80
2026-01-28 23:27:00.956661,Focused,80
2026-01-28 23:27:01.028703,Distracted,70
2026-01-28 23:27:01.102919,Focused,80
2026-01-28 23:27:01.173067,Focused,80
2026-01-28 23:27:01.252004,Focused,80
2026-01-28 23:27:01.322795,Distracted,70
2026-01-28 23:27:01.398174,Distracted,70
2026-01-28 23:27:01.474302,Distracted,70
2026-01-28 23:27:01.556317,Distracted,70
2026-01-28 23:27:01.626806,Distracted,70
2026-01-28 23:27:01.706430,Distracted,70
2026-01-28 23:27:01.784120,Distracted,70
2026-01-28 23:27:01.857980,Distracted,70
2026-01-28 23:27:01.932971,Distracted,70
2026-01-28 23:27:02.011589,Distracted,70
2026-01-28 23:27:02.089723,Distracted,70
2026-01-28 23:27:02.160447,Distracted,70
2026-01-28 23:27:02.239702,Distracted,70
2026-01-28 23:27:02.316698,Distracted,70
2026-01-28 23:27:02.389597,Distracted,70
2026-01-28 23:27:02.463161,Distracted,70
2026-01-28 23:27:02.539627,Distracted,70
2026-01-28 23:27:02.614854,Distracted,70
2026-01-28 23:27:02.689752,Distracted,70
2026-01-28 23:27:02.759665,Distracted,70
2026-01-28 23:27:02.889611,Distracted,70
2026-01-28 23:27:02.960920,Distracted,70
2026-01-28 23:27:03.039517,Distracted,70
2026-01-28 23:27:03.122568,Distracted,70
2026-01-28 23:27:03.195216,Tired / Stressed,50
2026-01-28 23:27:03.257545,Tired / Stressed,50
2026-01-28 23:27:03.322906,Tired / Stressed,50
2026-01-28 23:27:03.394026,Tired / Stressed,40
2026-01-28 23:27:03.472439,Tired / Stressed,50
2026-01-28 23:27:03.539233,Tired / Stressed,50
2026-01-28 23:27:03.617782,Focused,80
2026-01-28 23:27:03.679870,Focused,80
2026-01-28 23:27:03.742512,Focused,80
2026-01-28 23:27:03.806937,Focused,80
2026-01-28 23:27:03.889192,Distracted,70
2026-01-28 23:27:03.959041,Distracted,70
2026-01-28 23:27:04.072537,Distracted,70
2026-01-28 23:27:04.155048,Distracted,70
2026-01-28 23:27:04.239113,Distracted,70
2026-01-28 23:27:04.292855,Distracted,70
2026-01-28 23:27:04.367079,Focused,80
2026-01-28 23:27:04.429959,Focused,80
2026-01-28 23:27:04.500070,Distracted,70
2026-01-28 23:27:04.572602,Distracted,70
2026-01-28 23:27:04.654870,Distracted,70
2026-01-28 23:27:04.774404,Distracted,70
2026-01-28 23:27:04.855466,Distracted,70
2026-01-28 23:27:04.932999,Focused,80
2026-01-28 23:27:05.013207,Distracted,70
2026-01-28 23:27:05.084260,Distracted,70
2026-01-28 23:27:05.156969,Distracted,70
2026-01-28 23:27:05.272464,Distracted,70
2026-01-28 23:27:05.395074,Distracted,70
2026-01-28 23:27:05.493435,Distracted,70
2026-01-28 23:27:05.546343,Distracted,70
2026-01-28 23:27:05.630094,Distracted,70
2026-01-28 23:27:05.705689,Distracted,70
2026-01-28 23:27:05.786741,Distracted,70
2026-01-28 23:27:05.874162,Distracted,70
2026-01-28 23:27:05.946657,Distracted,70
2026-01-28 23:27:06.029523,Distracted,70
2026-01-28 23:27:06.109858,Distracted,70
2026-01-28 23:27:06.189114,Focused,80
2026-01-28 23:27:06.261789,Focused,80
2026-01-28 23:27:06.343936,Focused,80
2026-01-28 23:27:06.412665,Focused,80
2026-01-28 23:27:06.473489,Focused,80
2026-01-28 23:27:06.544569,Focused,80
2026-01-28 23:27:06.610767,Focused,80
2026-01-28 23:27:06.688946,Distracted,70
2026-01-28 23:27:06.775402,Distracted,70
2026-01-28 23:27:06.855664,Focused,80
2026-01-28 23:27:06.951429,Tired / Stressed,50
2026-01-28 23:27:07.032170,Focused,80
2026-01-28 23:27:07.109772,Focused,80
2026-01-28 23:27:07.188586,Focused,80
2026-01-28 23:27:07.258897,Focused,80
2026-01-28 23:27:07.329311,Focused,80
2026-01-28 23:27:07.405642,Focused,80
2026-01-28 23:27:07.479640,Focused,80
2026-01-28 23:27:07.557931,Focused,80
